                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.5377,                 1.3122,                 1.7596,                0.56481,                0.44457,                0.47539,                0.22501,                 1.9169,                 2.0213,                 2.4771,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.5634,                  1.326,                 1.7947,                0.55371,                0.39503,                0.45325,                0.21564,                   1.81,                 2.0299,                 2.3897,               0.001274,               0.001274,               0.001274
                     58,                 1.5607,                 1.3151,                 1.7762,                0.50308,                0.49501,                0.48205,                0.22564,                 1.8992,                 2.0086,                 2.4474,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.5587,                  1.286,                 1.7806,                0.57236,                0.42265,                 0.4808,                0.22063,                 1.8927,                 2.0471,                 2.4886,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.5562,                 1.2567,                 1.7456,                0.56327,                0.41685,                0.45511,                0.21592,                 1.8847,                 2.0262,                  2.454,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.5503,                 1.2523,                 1.7688,                0.47399,                0.40055,                 0.4152,                0.18649,                 1.9174,                  2.312,                 2.4641,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.5461,                 1.2768,                 1.7634,                0.54678,                 0.4779,                0.48039,                0.21469,                 1.9196,                 2.0031,                 2.5076,               0.001208,               0.001208,               0.001208
                     63,                 1.5516,                 1.2543,                 1.7574,                0.50193,                0.46769,                0.47696,                0.21294,                 1.9513,                 1.9741,                 2.5404,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.5439,                 1.2145,                 1.7682,                0.57162,                 0.5221,                0.53234,                0.25251,                 1.8845,                 1.9127,                 2.4808,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.5072,                 1.1971,                 1.7173,                0.57853,                0.41436,                0.49759,                0.24041,                 1.8297,                 2.0266,                 2.3819,              0.0011684,              0.0011684,              0.0011684
                     66,                  1.512,                 1.2019,                 1.7094,                0.60714,                0.46133,                0.50734,                 0.2421,                 1.8875,                 2.0656,                  2.473,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.5293,                  1.206,                  1.742,                0.52925,                 0.4348,                0.44668,                0.21674,                 1.8574,                 2.2608,                 2.4158,               0.001142,               0.001142,               0.001142
                     68,                 1.4786,                   1.15,                  1.704,                0.60221,                0.44475,                0.51291,                0.23673,                 1.9168,                 2.0569,                 2.4919,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.5141,                 1.1887,                   1.72,                0.63748,                0.43094,                0.50485,                0.23065,                 1.8986,                 1.9403,                  2.478,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.4892,                 1.1626,                 1.7221,                0.57177,                0.51381,                0.55284,                0.27075,                  1.841,                 1.8443,                 2.4231,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.4944,                 1.1438,                 1.7253,                0.66194,                0.49448,                0.55672,                0.26685,                 1.7734,                 1.8172,                 2.3698,              0.0010892,              0.0010892,              0.0010892
                     72,                 1.4698,                 1.1448,                 1.7086,                 0.6095,                0.48619,                0.54207,                0.25992,                 1.7909,                 1.8683,                 2.3615,               0.001076,               0.001076,               0.001076
                     73,                 1.4589,                  1.111,                 1.6958,                0.56488,                0.46409,                0.50805,                0.24897,                 1.8171,                 2.0502,                 2.4186,              0.0010628,              0.0010628,              0.0010628
                     74,                  1.433,                 1.0974,                 1.6632,                0.60765,                0.44067,                0.48531,                0.21922,                 1.9027,                 2.0336,                 2.5172,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.4286,                 1.0916,                 1.6446,                0.59459,                0.50829,                0.54259,                0.26106,                 1.8286,                 1.8986,                 2.3887,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.4142,                 1.0684,                 1.6494,                0.64784,                0.47769,                0.55182,                0.25733,                  1.847,                 1.8956,                 2.4397,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.4303,                 1.1192,                 1.6837,                  0.695,                0.47238,                0.56134,                0.25312,                 1.8599,                  1.836,                 2.4833,                0.00101,                0.00101,                0.00101
                     78,                 1.4033,                 1.0965,                 1.6467,                0.58581,                0.45028,                0.49919,                0.22486,                 1.9068,                 2.0063,                 2.4994,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.4086,                 1.0601,                 1.6406,                0.70737,                0.54756,                0.62259,                 0.3026,                  1.795,                 1.6927,                 2.3731,              0.0009836,              0.0009836,              0.0009836
                     80,                 1.4077,                 1.0452,                 1.6374,                0.64572,                0.52364,                0.55346,                0.26291,                 1.8824,                 1.8766,                 2.4605,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.4028,                 1.0524,                 1.6568,                0.61251,                0.48906,                 0.5641,                0.28102,                 1.8241,                 1.8456,                 2.4068,              0.0009572,              0.0009572,              0.0009572
                     82,                  1.406,                  1.055,                 1.6384,                0.72592,                    0.5,                0.58766,                0.28472,                 1.8224,                 1.7386,                 2.3748,               0.000944,               0.000944,               0.000944
                     83,                 1.3855,                 1.0635,                 1.6251,                0.62908,                0.52762,                0.58948,                0.28945,                 1.7618,                 1.7314,                 2.3627,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.3808,                 1.0473,                 1.6296,                0.74048,                0.51381,                0.62272,                0.30476,                 1.8018,                 1.7091,                 2.4163,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.3742,                 1.0401,                 1.6272,                0.61655,                0.50276,                0.53679,                 0.2627,                 1.8136,                 1.9319,                  2.433,              0.0009044,              0.0009044,              0.0009044
                     86,                  1.364,                 1.0051,                 1.6178,                0.76954,                0.46122,                0.59392,                 0.2943,                 1.8265,                 1.7247,                 2.4149,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.3858,                 1.0118,                 1.6415,                0.71785,                0.43094,                 0.5589,                0.27081,                 1.8327,                  1.859,                 2.4565,               0.000878,               0.000878,               0.000878
