                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.4388,                 1.1325,                  1.697,                0.65696,                0.48143,                0.57533,                 0.2965,                 1.7798,                  1.744,                 2.4191,              0.0016612,              0.0016612,              0.0016612
                     80,                 1.4424,                 1.1121,                 1.6846,                0.65142,                0.46961,                 0.5397,                0.25732,                 1.7303,                 1.8674,                 2.4091,              0.0016568,              0.0016568,              0.0016568
                     81,                 1.4326,                 1.1007,                 1.7093,                0.65074,                0.50439,                0.56228,                0.26911,                 1.7876,                 1.8052,                 2.4889,              0.0016524,              0.0016524,              0.0016524
                     82,                 1.4507,                 1.1341,                 1.6927,                0.68873,                0.54398,                0.60986,                0.30421,                 1.7204,                 1.6681,                 2.3994,               0.001648,               0.001648,               0.001648
                     83,                 1.4199,                 1.0975,                 1.6719,                0.61617,                0.43646,                0.49699,                0.23251,                 1.8432,                  1.926,                 2.4997,              0.0016436,              0.0016436,              0.0016436
                     84,                 1.4102,                 1.1062,                 1.6769,                0.60943,                0.46983,                0.54476,                0.27098,                 1.7729,                 1.8296,                 2.4486,              0.0016392,              0.0016392,              0.0016392
                     85,                 1.4136,                 1.0806,                 1.6821,                0.68883,                0.42195,                0.49847,                0.23486,                  1.862,                  2.047,                 2.5812,              0.0016348,              0.0016348,              0.0016348
                     86,                 1.4191,                 1.0784,                 1.6762,                0.68872,                 0.4779,                0.55758,                0.26575,                 1.8495,                 1.9083,                 2.5235,              0.0016304,              0.0016304,              0.0016304
                     87,                 1.4109,                 1.0598,                 1.6957,                0.55969,                0.51657,                0.53265,                0.24044,                 1.8702,                 1.9978,                 2.5795,               0.001626,               0.001626,               0.001626
                     88,                 1.3602,                 1.0144,                 1.6295,                0.68135,                0.53751,                0.59302,                0.31174,                 1.7023,                 1.6618,                 2.3554,              0.0016216,              0.0016216,              0.0016216
                     89,                 1.4036,                 1.0366,                 1.6536,                0.65126,                0.50276,                0.54651,                0.26273,                 1.8411,                 1.8068,                 2.5087,              0.0016172,              0.0016172,              0.0016172
                     90,                 1.3948,                 1.0476,                 1.6454,                0.70476,                0.54072,                0.62292,                0.29713,                 1.8117,                 1.6447,                 2.5219,              0.0016128,              0.0016128,              0.0016128
                     91,                 1.3866,                 1.0253,                 1.6424,                0.66778,                0.53867,                0.61934,                0.32186,                  1.728,                 1.7487,                 2.4177,              0.0016084,              0.0016084,              0.0016084
                     92,                 1.3842,                 1.0104,                 1.6224,                 0.5818,                0.58564,                0.60383,                0.30971,                 1.6959,                  1.693,                 2.3804,               0.001604,               0.001604,               0.001604
                     93,                 1.3926,                  1.002,                 1.6458,                0.64889,                0.50276,                0.56157,                0.27411,                 1.7786,                 1.9018,                 2.4676,              0.0015996,              0.0015996,              0.0015996
                     94,                 1.3651,                0.99986,                 1.6146,                0.66107,                0.42818,                0.54317,                0.27034,                 1.7739,                 2.0422,                 2.4326,              0.0015952,              0.0015952,              0.0015952
                     95,                 1.3497,                 1.0001,                 1.6127,                0.58449,                0.52848,                0.59287,                0.30396,                 1.7546,                 1.7841,                 2.4373,              0.0015908,              0.0015908,              0.0015908
                     96,                 1.3883,                 1.0318,                 1.6416,                0.61808,                0.56354,                0.59549,                0.29471,                 1.7373,                 1.6754,                   2.44,              0.0015864,              0.0015864,              0.0015864
                     97,                 1.3639,                0.98413,                  1.645,                0.67322,                0.55203,                0.61985,                0.31274,                   1.77,                 1.6887,                 2.4449,               0.001582,               0.001582,               0.001582
                     98,                 1.3383,                  0.994,                 1.6212,                0.67265,                0.59116,                0.62343,                0.30172,                 1.7901,                 1.6335,                 2.4418,              0.0015776,              0.0015776,              0.0015776
                     99,                 1.3305,                0.97075,                 1.6083,                0.67684,                0.54972,                0.63332,                0.31433,                 1.7298,                 1.6591,                 2.4161,              0.0015732,              0.0015732,              0.0015732
                    100,                 1.3542,                0.95415,                 1.6039,                0.65072,                0.53315,                 0.6024,                0.31271,                 1.7724,                  1.802,                 2.4486,              0.0015688,              0.0015688,              0.0015688
                    101,                 1.3029,                0.96032,                 1.5784,                0.65908,                0.53039,                0.58088,                0.28918,                 1.7963,                 1.7075,                 2.4864,              0.0015644,              0.0015644,              0.0015644
                    102,                 1.3414,                0.99153,                 1.6041,                0.53427,                0.54972,                0.55767,                0.28251,                 1.7403,                 1.8318,                 2.4388,                0.00156,                0.00156,                0.00156
                    103,                 1.3222,                0.94607,                 1.5889,                0.67644,                0.55249,                0.63255,                0.32126,                 1.7364,                 1.6493,                 2.4016,              0.0015556,              0.0015556,              0.0015556
                    104,                 1.3032,                0.91809,                 1.5645,                0.67958,                0.56244,                0.60531,                 0.3031,                 1.7577,                  1.652,                 2.4427,              0.0015512,              0.0015512,              0.0015512
                    105,                  1.315,                0.95766,                  1.579,                0.64541,                0.57822,                 0.6156,                 0.3144,                 1.6934,                  1.651,                 2.3546,              0.0015468,              0.0015468,              0.0015468
                    106,                 1.2886,                0.93297,                 1.5569,                0.65877,                0.51381,                0.60398,                0.30609,                 1.7593,                 1.6708,                 2.4371,              0.0015424,              0.0015424,              0.0015424
                    107,                 1.2845,                 0.9277,                 1.5541,                0.65182,                0.55525,                0.61755,                0.31269,                 1.7103,                 1.6198,                  2.381,               0.001538,               0.001538,               0.001538
                    108,                 1.3423,                 0.9742,                 1.6242,                0.66545,                0.59342,                0.64941,                0.33494,                 1.7255,                 1.6345,                 2.4219,              0.0015336,              0.0015336,              0.0015336
                    109,                 1.2977,                0.95393,                 1.5752,                0.64616,                0.50276,                0.59099,                0.30873,                 1.7751,                 1.6705,                 2.4274,              0.0015292,              0.0015292,              0.0015292
                    110,                 1.2939,                0.89325,                 1.5626,                0.65602,                0.57735,                0.61786,                0.32021,                 1.7292,                 1.6121,                 2.4121,              0.0015248,              0.0015248,              0.0015248
                    111,                 1.3054,                0.93235,                 1.5879,                0.67598,                0.59116,                0.63328,                 0.3177,                 1.7463,                 1.6533,                 2.4231,              0.0015204,              0.0015204,              0.0015204
                    112,                 1.2739,                  0.905,                 1.5603,                0.68523,                 0.5352,                0.60723,                0.30858,                 1.7807,                 1.7188,                 2.4767,               0.001516,               0.001516,               0.001516
                    113,                 1.2678,                0.91547,                 1.5697,                0.74184,                0.50552,                0.60952,                0.30419,                 1.8205,                 1.7437,                 2.5024,              0.0015116,              0.0015116,              0.0015116
                    114,                 1.2634,                0.90099,                 1.5476,                0.71955,                0.52449,                0.61617,                0.31574,                 1.7492,                 1.6977,                 2.4807,              0.0015072,              0.0015072,              0.0015072
                    115,                 1.2744,                0.92633,                  1.552,                0.66286,                0.55801,                0.62102,                0.33019,                  1.683,                 1.6326,                 2.4003,              0.0015028,              0.0015028,              0.0015028
                    116,                 1.2842,                 0.9121,                 1.5526,                0.69981,                 0.5667,                0.63463,                 0.3494,                 1.7285,                 1.6045,                 2.3865,              0.0014984,              0.0014984,              0.0014984
                    117,                 1.2447,                0.90484,                 1.5346,                0.75109,                0.56077,                   0.67,                0.35722,                 1.6767,                 1.5106,                 2.3596,               0.001494,               0.001494,               0.001494
                    118,                 1.3067,                0.92958,                 1.5716,                0.72213,                0.52486,                0.61911,                0.32019,                   1.74,                 1.6353,                 2.4397,              0.0014896,              0.0014896,              0.0014896
                    119,                 1.2514,                0.88005,                 1.5326,                0.67661,                0.53039,                0.62304,                0.32816,                 1.6938,                 1.7046,                 2.3669,              0.0014852,              0.0014852,              0.0014852
                    120,                 1.2421,                0.86234,                 1.5142,                0.63759,                0.61878,                0.65313,                0.32018,                 1.7596,                 1.6072,                 2.5271,              0.0014808,              0.0014808,              0.0014808
                    121,                 1.2117,                0.85291,                 1.5076,                0.65095,                0.54144,                0.63239,                0.33245,                 1.7136,                  1.632,                 2.3882,              0.0014764,              0.0014764,              0.0014764
                    122,                 1.2455,                0.87935,                 1.5142,                0.70108,                0.56077,                0.64493,                0.33653,                  1.724,                 1.6718,                 2.4018,               0.001472,               0.001472,               0.001472
                    123,                 1.2183,                0.84929,                 1.5251,                0.68124,                0.56077,                0.63981,                0.33153,                 1.7222,                 1.5508,                 2.4533,              0.0014676,              0.0014676,              0.0014676
